reaction_id,0.01,0.05,0.1,0.2,0.5,1
EX_for_e,0.00151723,0.00757735,0.0151537,0.0303094,0.242266,1
FDH,0.0266406,0.133134,0.266279,0.532535,1,1
RBPCcx,0.0439673,0.219635,0.43924,0.878539,1,1
RPE,0.0439191,0.219407,0.438834,0.877629,1,1
FBA,0.979341,0.988511,0.999974,1,0.993136,0.993136
FBA3,1,1,1,1,1,1
PGK,1,1,1,1,1,1
GAPD,1,1,1,1,1,1
TKT1,0.0439218,0.219407,0.438834,0.877741,1,1
TKT2,0.043886,0.219228,0.438475,0.877024,1,0.999999
TALA,0.700473,0.412094,0.824194,0.618341,1,0.656643
SBP,1,0.5,1,1,1,1
FBP,1,1,1,1,1,1
CS,1,0.998827,0.997361,0.994429,0.989211,0.989211
ACONT,1,0.998827,0.997361,0.994429,0.989211,0.989211
ICDHyr,0.0936889,0.468013,0.935962,1,0.994753,0.994753
AKGDH,0.0936889,0.468014,0.935963,1,0.994753,0.994753
AKGDa,0.0936889,0.468014,0.935963,1,0.994753,0.994753
AKGDb,0.0936889,0.468014,0.935963,1,0.994753,0.994753
SUCOAS,0.000102413,0.310896,0.00102402,1,0.00387005,0.00387005
SUCDi,0.026651,0.133132,0.266246,0.532529,1,0.999982
FUM,1,0.994969,0.988681,0.976105,0.953697,0.953697
MDH,1,0.99533,0.989492,0.977817,0.957016,0.957016
ME2,1,1,1,1,1,1
