panel_metric,reaction_id,vmax_multiplier,vmax_label,feasible_minimum,feasible_maximum,growth_optimal_value,fva_width,normalized_feasible_minimum,normalized_feasible_maximum,normalized_growth_optimal_value
Biomass,BIOMASS__1,0.01,Vmax 0.01x,0.000356138,0.00039576,0.000395709,3.96219e-05,0.0238141,0.0264635,0.0264601
Biomass,BIOMASS__1,0.05,Vmax 0.05x,0.0017807,0.00197856,0.00197856,0.000197856,0.119071,0.132301,0.132301
Biomass,BIOMASS__1,0.1,Vmax 0.1x,0.00356139,0.00395707,0.0039571,0.000395679,0.238141,0.2646,0.264602
Biomass,BIOMASS__1,0.2,Vmax 0.2x,0.00712268,0.00791409,0.00791409,0.000791409,0.476277,0.529197,0.529197
Biomass,BIOMASS__1,0.5,Vmax 0.5x,0.0134594,0.0149549,0.0149549,0.00149549,0.899998,0.999998,0.999998
Biomass,BIOMASS__1,1,Vmax 1x,0.0134594,0.0149549,0.0149549,0.00149546,0.9,0.999998,1
Formate uptake,EX_for_e,0.01,Vmax 0.01x,0.0160624,0.0178494,0.0178494,0.00178701,0.00899884,0.01,0.01
Formate uptake,EX_for_e,0.05,Vmax 0.05x,0.0803221,0.0892468,0.0892468,0.00892468,0.045,0.05,0.05
Formate uptake,EX_for_e,0.1,Vmax 0.1x,0.160646,0.178494,0.178494,0.0178481,0.0900007,0.1,0.1
Formate uptake,EX_for_e,0.2,Vmax 0.2x,0.321289,0.356987,0.356987,0.0356987,0.18,0.2,0.2
Formate uptake,EX_for_e,0.5,Vmax 0.5x,0.607125,0.892468,0.674584,0.285343,0.340138,0.5,0.377931
Formate uptake,EX_for_e,1,Vmax 1x,0.607126,1.78494,0.674584,1.17781,0.340139,1,0.377931
FDH,FDH,0.01,Vmax 0.01x,0.015963,0.0177489,0.0177377,0.00178589,0.0238126,0.0264766,0.0264598
FDH,FDH,0.05,Vmax 0.05x,0.0798195,0.0887443,0.0886883,0.00892477,0.119069,0.132383,0.132299
FDH,FDH,0.1,Vmax 0.1x,0.159638,0.177489,0.177377,0.0178504,0.238137,0.264765,0.264598
FDH,FDH,0.2,Vmax 0.2x,0.319278,0.354977,0.354753,0.0356991,0.476277,0.52953,0.529197
FDH,FDH,0.5,Vmax 0.5x,0.603326,0.670362,0.670362,0.0670362,0.9,1,1
FDH,FDH,1,Vmax 1x,0.603326,0.670362,0.670362,0.0670362,0.9,1,1
RuBisCO carboxylation,RBPCcx,0.01,Vmax 0.01x,0.00756322,0.0968919,0.00840402,0.0893287,0.00326344,0.0418077,0.00362623
RuBisCO carboxylation,RBPCcx,0.05,Vmax 0.05x,0.0378181,0.484052,0.0420201,0.446234,0.0163181,0.208863,0.0181312
RuBisCO carboxylation,RBPCcx,0.1,Vmax 0.1x,0.0756358,0.968044,0.0840402,0.892408,0.032636,0.417699,0.0362624
RuBisCO carboxylation,RBPCcx,0.2,Vmax 0.2x,0.151272,1.93621,0.16808,1.78494,0.0652722,0.835451,0.0725247
RuBisCO carboxylation,RBPCcx,0.5,Vmax 0.5x,0.285853,2.31756,0.317614,2.03171,0.123342,1,0.137047
RuBisCO carboxylation,RBPCcx,1,Vmax 1x,0.285853,2.31756,0.317614,2.03171,0.123342,1,0.137047
